Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
0.0,11.7995,0.701,11.0985,0.0342,0.04334004118829156
1.0,71.3767,3.1656,68.2111,0.3527,0.7917481358299634
2.0,60.4118,2.4273,57.9845,-0.1862,8.506974473695692e-06
3.0,49.7813,2.5149,47.266400000000004,0.1758,0.001299986314824627
4.0,51.8999,2.7273,49.1726,0.4061,5.7352196211836855e-09
5.0,50.9485,2.0865,48.862,0.4642,0.3549931342094981
6.0,68.4776,3.66,64.8176,-0.1585,1.425754245769905e-62
7.0,82.0153,3.7355,78.2798,0.2599,0.01796406145049122
8.0,111.5259,4.8311,106.69479999999999,-0.157,3.248791917788432e-14
9.0,49.7426,2.5679,47.1747,-0.0038,6.417878594782558e-11
10.0,104.0948,4.6533,99.4415,0.3745,5.430417561530239e-24
11.0,125.9308,5.1718,120.759,0.0933,2.3979011313427092e-60
12.0,78.4291,3.2834,75.1457,0.2151,4.605416643950115e-05
13.0,76.0276,4.4603,71.5673,-0.0153,1.6788666083922145e-29
14.0,111.0711,4.8062,106.2649,-0.1732,1.2763107481686659e-36
15.0,53.4641,2.8942,50.569900000000004,0.0077,1.8067239223506123e-10
16.0,50.8924,2.3782,48.5142,-0.1878,0.05314088684926417
17.0,92.0,3.6549,88.3451,-0.0024,3.0261067496896185e-68
18.0,87.924,3.5581,84.36590000000001,0.2174,1.2037911324372504e-18
19.0,83.6575,3.4383,80.2192,-0.2002,0.0001132304855715879
20.0,63.3377,2.5073,60.8304,-0.0295,3.109207779593529e-36
21.0,76.4017,3.3612,73.04050000000001,-0.1255,3.357883311791207e-76
22.0,76.8452,3.0905,73.7547,-0.3374,3.3480271714583936e-05
23.0,101.6011,4.1467,97.4544,-0.271,0.7911148303798439
24.0,136.6496,5.367,131.2826,0.0949,2.86585229252842e-10
25.0,123.8204,5.4087,118.41170000000001,-0.017,0.0002424675538678657
26.0,140.0341,6.3041,133.73,-0.2002,0.17517064192779386
27.0,137.2735,5.5315,131.74200000000002,-0.2518,0.23226057706856829
28.0,131.7754,5.3305,126.44489999999999,-0.1134,3.7479153464428045e-13
29.0,120.7176,4.8875,115.8301,-0.2379,2.167205024342027e-07
30.0,127.3317,5.7848,121.5469,-0.0266,3.643460079601364e-17
31.0,109.9014,4.4657,105.4357,-0.1703,0.28145763346279307
32.0,76.1763,4.3582,71.8181,0.2276,9.2487903600923e-18
33.0,100.4068,7.0685,93.3383,0.3434,7.107846731893847e-15
34.0,78.8298,3.257,75.5728,0.0837,2.698990704360401e-48
35.0,84.1954,4.4143,79.78110000000001,0.0683,2.6960335232882824e-48
36.0,122.1983,5.5289,116.6694,0.4106,0.00044642843713146846
