Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
0.0,11.7995,10.867,0.9324999999999992,0.7773,0.7422010227162193
1.0,71.3767,58.6513,12.7254,0.871,7.39368837086885e-07
2.0,60.4118,17.4139,42.9979,0.2465,0.6840150240085924
3.0,49.7813,22.3156,27.465700000000002,0.585,1.8334384486846264e-22
4.0,51.8999,21.6453,30.254600000000003,0.5324,2.6490555678605683e-38
5.0,50.9485,20.1439,30.804600000000004,0.552,5.0526214468711946e-61
6.0,68.4776,32.8067,35.670899999999996,0.6168,6.803096133215994e-28
7.0,82.0153,23.3987,58.61659999999999,0.4212,0.05347264409203471
8.0,111.5259,62.7044,48.82149999999999,0.5584,0.04481681431385403
9.0,49.7426,26.3624,23.380200000000002,0.396,0.06252928476097487
10.0,104.0948,58.7769,45.31790000000001,0.5907,0.2664983307087243
11.0,125.9308,29.3128,96.61800000000001,0.2512,4.2020834466289946e-36
12.0,78.4291,19.0743,59.354800000000004,0.4468,0.12140516123623468
13.0,76.0276,37.871,38.156600000000005,0.6509,0.013678665082787035
14.0,111.0711,91.0454,20.0257,0.6254,0.0007261285978058697
15.0,53.4641,16.654,36.810100000000006,0.4542,1.6134893294189832e-97
16.0,50.8924,35.3599,15.532499999999999,0.8079,1.7950114044437614e-25
17.0,92.0,51.8482,40.1518,0.7093,1.0180720853647465e-89
18.0,87.924,71.8238,16.1002,0.8229,5.506286751678073e-05
19.0,83.6575,47.0916,36.5659,0.6014,3.506168312077771e-28
20.0,63.3377,28.7509,34.5868,0.6318,1.0142685618197253e-27
21.0,76.4017,55.0851,21.316600000000008,0.8035,7.031381255866938e-06
22.0,76.8452,69.7598,7.085400000000007,0.7534,8.022370151780359e-05
23.0,101.6011,101.6011,0.0,1.0,5.631370294367352e-07
24.0,136.6496,64.5919,72.0577,0.4681,0.2906539745757445
25.0,123.8204,107.5872,16.23320000000001,0.9158,1.1088922752911864e-05
26.0,140.0341,140.0341,0.0,1.0,0.4428420713733511
27.0,137.2735,58.3085,78.965,0.4053,0.6590306492886739
28.0,131.7754,109.7664,22.008999999999986,0.8978,0.00025737641498348065
29.0,120.7176,41.9323,78.7853,0.4591,0.014360886284054956
30.0,127.3317,82.9474,44.384299999999996,0.4472,0.22805236651673277
31.0,109.9014,63.4996,46.401799999999994,0.7233,5.99706470454114e-41
32.0,76.1763,17.1324,59.043899999999994,0.3632,0.06152584002983132
33.0,100.4068,75.4581,24.948700000000002,0.7744,0.9278070785640148
34.0,78.8298,35.4846,43.345200000000006,0.4579,6.53027670059162e-35
35.0,84.1954,63.7518,20.443600000000004,0.8333,0.010668986699838498
36.0,122.1983,50.8511,71.3472,0.6244,0.8104618127199852
37.0,103.5343,24.5426,78.99170000000001,0.3794,5.547309815924622e-10
38.0,115.5626,35.6364,79.9262,0.3069,0.00012998496120857596
39.0,90.2773,68.4427,21.834599999999995,0.7825,0.30379468195241266
40.0,109.028,70.5572,38.47080000000001,0.7264,0.8193954293106047
41.0,80.5287,80.5287,0.0,1.0,0.27835313957999663
42.0,63.8437,38.45,25.393699999999995,0.411,1.7120245982644387e-23
43.0,75.938,12.6774,63.260600000000004,0.2247,1.7514981959922235e-08
44.0,64.5109,36.291,28.21990000000001,0.5255,0.0372920774137803
45.0,96.2146,96.2146,0.0,1.0,2.3620315967689e-13
46.0,67.8114,38.0975,29.71390000000001,0.6814,5.558179575606337e-20
47.0,65.6926,42.2548,23.437799999999996,0.7132,0.20135958675462018
48.0,61.0986,29.4755,31.623099999999997,0.6549,0.4466343189570734
49.0,50.9605,33.0267,17.933800000000005,0.8032,0.0071341684956529655
50.0,51.0179,23.1616,27.856299999999997,0.4533,0.3996818467805876
51.0,137.0242,80.7284,56.295800000000014,0.5959,0.020232467755459334
52.0,25.8061,14.2194,11.5867,0.5694,1.2803101312226374e-06
53.0,25.8757,25.8757,0.0,1.0,0.0286555095748402
54.0,72.2135,49.0319,23.181599999999996,0.7961,7.197558050994471e-12
55.0,55.6454,12.5863,43.0591,0.4583,3.010672107493311e-47
56.0,92.5904,23.1625,69.4279,0.2548,0.00022316817200258157
57.0,9.9927,6.7442,3.248499999999999,0.603,0.9729367908685843
58.0,75.8778,26.4688,49.40899999999999,0.3839,1.2896146528729313e-38
59.0,58.5419,18.7946,39.747299999999996,0.4302,3.360956156572738e-28
60.0,112.1475,23.3306,88.81689999999999,0.2991,0.09820276130250453
61.0,134.3408,62.4057,71.9351,0.2805,0.14368056463254641
62.0,108.873,57.0511,51.82190000000001,0.3532,0.7722101395083342
63.0,86.0975,39.9516,46.1459,0.4553,1.4466495036994618e-20
64.0,72.5782,24.7128,47.865399999999994,0.5197,7.537277919904573e-19
65.0,69.2851,28.74,40.545100000000005,0.5622,2.539670892096005e-33
66.0,119.6203,47.2945,72.3258,0.2547,0.00012164990814860828
67.0,93.0542,52.4674,40.5868,0.5931,0.38445027592108716
68.0,118.524,50.7088,67.8152,0.4825,0.9841415849377234
69.0,99.5584,32.0449,67.51350000000001,0.3321,0.4320229051702651
70.0,88.5736,34.484,54.0896,0.4305,0.5783182695608067
71.0,53.935,17.0247,36.91030000000001,0.456,2.4794922719535274e-39
72.0,62.4322,30.1337,32.298500000000004,0.66,1.1056932854512995e-34
73.0,53.6134,14.9415,38.6719,0.4025,1.0377200054077593e-67
74.0,72.365,36.8574,35.5076,0.5544,1.4939022367166728e-66
75.0,103.9081,53.3432,50.5649,0.2951,0.00834097302384304
76.0,98.722,71.6799,27.04209999999999,0.6834,7.32267274606157e-05
77.0,77.3887,34.3263,43.0624,0.3821,1.1142878504615195e-51
78.0,93.1602,30.0362,63.124,0.4551,4.109921238634936e-11
79.0,63.9465,33.6182,30.3283,0.5858,2.4717283729975194e-06
80.0,97.0994,42.6429,54.456500000000005,0.5183,0.12503092443820615
81.0,66.732,39.0275,27.704499999999996,0.6179,7.29377238677685e-26
82.0,68.4331,30.3218,38.1113,0.3956,0.42687397052183496
83.0,98.6865,52.6036,46.082899999999995,0.5097,0.3863524929219322
84.0,91.6938,39.5791,52.1147,0.3473,0.08463665661435292
85.0,138.1528,57.5103,80.64250000000001,0.2974,0.5453448034115693
86.0,92.4961,51.2105,41.285599999999995,0.671,6.571093743569039e-16
87.0,133.5742,49.3057,84.26849999999999,0.2159,0.018353912615717834
88.0,98.3521,27.5321,70.82,0.2938,1.5774835070308775e-17
89.0,88.7046,32.6425,56.0621,0.4662,0.016169559782102612
90.0,92.648,30.2715,62.37649999999999,0.2978,5.623073048094711e-23
91.0,89.9124,32.065,57.84740000000001,0.295,3.621117224831018e-33
92.0,79.1459,31.7583,47.3876,0.3162,2.2754780950980487e-18
93.0,78.1701,65.1603,13.009799999999998,0.6992,0.12625809525441725
94.0,42.8995,42.8995,0.0,1.0,0.11217189963130293
95.0,85.0555,61.4264,23.629099999999994,0.7099,5.402134450633001e-05
96.0,62.9,32.7606,30.139400000000002,0.6028,0.20748873957614078
97.0,86.2291,32.4794,53.749700000000004,0.3906,0.244290460190839
98.0,72.3873,30.7295,41.657799999999995,0.55,3.8644249798942836e-07
99.0,63.1186,22.3134,40.8052,0.3384,5.163991387485074e-37
100.0,42.3117,8.7747,33.537000000000006,0.3668,5.117987707925226e-89
101.0,76.9394,22.7112,54.2282,0.3341,6.925617793249152e-24
102.0,68.3381,32.2279,36.1102,0.4625,5.1302004377872355e-27
103.0,82.7208,21.813,60.907799999999995,0.2252,3.0342188555754097e-21
104.0,93.7202,36.9671,56.7531,0.3762,0.20232334087466797
105.0,51.4036,20.7478,30.655799999999996,0.3524,0.0012583043014814954
106.0,74.5186,32.0637,42.45490000000001,0.3675,4.2416786360335876e-47
107.0,79.0908,42.634,36.4568,0.5561,0.011970725774385571
108.0,29.954,17.6919,12.2621,0.4417,0.8582865831330029
109.0,60.658,33.951,26.707,0.6849,6.929583036670787e-08
110.0,27.6418,14.2911,13.3507,0.5403,7.87499072607004e-28
111.0,36.1906,35.065,1.1256000000000057,0.9387,0.9469457408437314
112.0,79.799,46.4629,33.33610000000001,0.5286,0.958491998097932
113.0,230.7876,105.1781,125.6095,0.6229,3.4726149391162145e-07
114.0,86.2157,44.2585,41.9572,0.6201,1.678286190656674e-07
115.0,131.639,74.5083,57.130700000000004,0.6116,0.00012302812502968733
116.0,157.2966,122.2144,35.082200000000014,0.7063,5.128765045674213e-10
